N-500,N-800,N-1000,N-1200
0.516496705,0.503164742,0.487288577,0.498732365
0.515358103,0.501675328,0.486022333,0.497535091
0.514730402,0.501051088,0.484987001,0.497215198
0.513691127,0.499495585,0.484339265,0.496107366
0.51264422,0.498208147,0.483419722,0.495004711
0.511351775,0.496925981,0.481963626,0.493834357
0.51014356,0.495920312,0.480730362,0.493011653
0.51004968,0.495650783,0.480850635,0.492303346
0.509028478,0.494477345,0.479723912,0.491081005
0.507938545,0.493226378,0.478444568,0.489848561
0.506919561,0.492586186,0.477481736,0.488740499
0.506137154,0.491903052,0.476635574,0.487547863
0.505263186,0.491088856,0.475953989,0.486689363
0.509013126,0.493356139,0.478139006,0.489786392
0.50711743,0.49158827,0.476494157,0.487975071
0.506529784,0.491190387,0.476454355,0.487590801
0.506194849,0.490821922,0.475602654,0.486967261
0.50574537,0.490344115,0.475519473,0.485629253
0.506678306,0.489799477,0.475956449,0.486265791
0.506816782,0.489516339,0.475972734,0.4862758
0.508011451,0.490043165,0.476825629,0.487149239
0.506799429,0.488996586,0.475800604,0.486035833
0.50552427,0.487373317,0.474416414,0.484852193
0.505177555,0.486401259,0.473249457,0.484009985
0.504385041,0.485624436,0.472037062,0.482980124
0.504471432,0.485539,0.471852617,0.483051947
0.503102405,0.484339781,0.470715918,0.481646938
0.504751918,0.485094095,0.471347361,0.48303107
0.50721782,0.487308241,0.473035123,0.4857663
0.505649605,0.485836586,0.471722519,0.484263548
0.505837633,0.485618918,0.471693013,0.484334617
0.50382467,0.484779787,0.470868086,0.483939557
0.502868337,0.484179532,0.470211235,0.483480204
0.502121582,0.483630868,0.469775479,0.483305874
0.500804578,0.482289645,0.468649559,0.481753222
0.499573413,0.481031098,0.467508617,0.480561218
0.500839804,0.483720912,0.469542151,0.483170606
0.499787037,0.482243588,0.468457423,0.481345684
0.50204279,0.483581725,0.469661706,0.482433563
0.500839706,0.483479785,0.470003575,0.482361236
0.5014962,0.483878432,0.470807758,0.482687872
0.500263096,0.482834253,0.469564377,0.481595011
0.499367417,0.482169432,0.468641996,0.480692156
0.499430677,0.482045391,0.468188909,0.480364013
0.49772409,0.480925977,0.466958684,0.479138437
0.49945587,0.481472736,0.466958622,0.479230601
0.498167681,0.480375147,0.465828485,0.478231782
0.500154833,0.482109728,0.467175942,0.479327472
0.498592211,0.480423275,0.465599352,0.477975716
0.497550782,0.47928212,0.464543081,0.476812661
0.496450109,0.47815507,0.463499399,0.475781188
0.495416858,0.47709216,0.462513875,0.474797184
0.493999201,0.476527835,0.461482075,0.473867983
0.492844657,0.475966903,0.460738504,0.473098708
0.491912962,0.475272604,0.459977195,0.472318596
0.490845814,0.474205983,0.458975861,0.47127474
0.490648434,0.474746173,0.458831047,0.471294264
0.489466424,0.473648782,0.45780108,0.470144482
0.489197293,0.473757005,0.457834067,0.469949228
0.488071115,0.472503683,0.45655556,0.468807931
0.487584539,0.472689275,0.456541285,0.46880988
0.487202734,0.471394544,0.455766074,0.468111352
0.486132973,0.47037855,0.454711147,0.467018964
0.48580762,0.469626392,0.45441827,0.466488599
0.485003754,0.468584055,0.453709857,0.465729795
0.48375671,0.46754616,0.452657971,0.464685233
0.482771087,0.466942696,0.451381403,0.463802532
0.482209,0.466123335,0.451115441,0.463111593
0.481058049,0.465162488,0.450069613,0.46212574
0.480980424,0.465648724,0.450126049,0.461996013
0.480056051,0.46500442,0.449094893,0.461247624
0.483020801,0.468331107,0.451911999,0.464566438
0.482256276,0.467528029,0.451223718,0.463863691
0.48181242,0.466735828,0.451074503,0.46345882
0.480790094,0.465762644,0.450085076,0.462473736
0.479794167,0.464799082,0.449059556,0.461526324
0.479554045,0.464450178,0.449606909,0.461611052
0.478229884,0.463268536,0.448304938,0.460412962
0.479567175,0.464099667,0.448943651,0.461367999
0.478280408,0.46285952,0.447629835,0.460259749
0.479452976,0.463638975,0.449007576,0.461045526
0.479912231,0.463707601,0.449612684,0.461049383
0.478398136,0.462116389,0.447898024,0.459571119
0.478021873,0.461860829,0.446798766,0.458696665
0.477068144,0.460744091,0.445794857,0.457697098
0.476826191,0.460939516,0.44521788,0.457878109
0.475855079,0.459864156,0.44411035,0.456760273
0.47596991,0.459790397,0.444110812,0.45716236
0.474881181,0.45857573,0.443038833,0.455654254
0.474069471,0.457506517,0.442225116,0.454679172
0.473134157,0.456503291,0.441280059,0.453695804
0.474034131,0.457181654,0.441770924,0.454307291
0.473027735,0.455989636,0.440747465,0.453201305
0.472085349,0.454976052,0.4396702,0.452108663
0.477839285,0.459258366,0.44492364,0.456603695
0.476097156,0.458046344,0.44331456,0.455098618
0.475412768,0.458236394,0.443087406,0.454586058
0.477504195,0.458360762,0.444536643,0.455417418
0.476532308,0.457352047,0.443317976,0.454384357
0.481166896,0.46111852,0.447829302,0.458513871
0.482085156,0.461927791,0.449629838,0.459272924
0.486313842,0.466544858,0.454514987,0.463963167
0.486368104,0.466496739,0.454679366,0.464051003
0.484760359,0.464770779,0.452696027,0.462257186
0.483911329,0.464001822,0.451624702,0.461275933
0.482799659,0.463252218,0.451163765,0.460791275
0.482152387,0.462625545,0.450314324,0.459917838
0.482422906,0.463128149,0.450798474,0.460957293
0.481604762,0.462462535,0.449978104,0.459679533
0.484269164,0.464034593,0.451727429,0.461148048
0.483189132,0.462570742,0.450340106,0.459794953
0.482929784,0.462581359,0.450338971,0.459874979
0.482240944,0.461931834,0.449668887,0.45934829
0.480954201,0.460972617,0.448717029,0.457982043
0.481315365,0.460962482,0.448751042,0.458330811
0.479980526,0.460245471,0.448123526,0.457403484
0.480686936,0.460681053,0.448400166,0.457443428
0.479959823,0.460871239,0.448454852,0.458164349
0.479071675,0.459839089,0.447337713,0.457073273
0.478294813,0.458749011,0.446359219,0.456115816
0.477993357,0.457756411,0.445715663,0.455465018
0.477046217,0.456802818,0.444871203,0.454547248
0.477143661,0.4567242,0.444609127,0.45415563
0.479596622,0.459164375,0.446715102,0.455391941
0.478802692,0.458287936,0.445831851,0.454521733
0.478086403,0.457710232,0.445353269,0.453974235
0.478941068,0.457820601,0.445593952,0.453933318
0.478580483,0.45784205,0.445833147,0.454030755
0.477677408,0.456963328,0.444832679,0.45299777
0.476697883,0.456217239,0.444316217,0.452205701
0.475992805,0.455527576,0.443411615,0.451168213
0.475610414,0.455529399,0.44370562,0.451847883
0.477281865,0.457891786,0.445795989,0.453895311
0.475782551,0.45623972,0.444342718,0.452536106
0.47589713,0.456362955,0.444532905,0.452573213
0.475649307,0.456183593,0.444338323,0.452087786
0.475085589,0.455705964,0.443887443,0.45152997
0.475507196,0.455504194,0.444615139,0.452630974
0.474614808,0.454817535,0.443676753,0.451729763
0.473646109,0.45405016,0.442793599,0.450771306
0.473731398,0.454917474,0.443435097,0.451590289
0.47269962,0.453961008,0.442385344,0.450585504
0.472872138,0.453950362,0.442681866,0.450787797
0.471708872,0.452692581,0.441473176,0.449533743
0.470561824,0.452389514,0.441262684,0.449142805
0.471192853,0.451871853,0.441156037,0.448830521
0.471728991,0.451693107,0.441334193,0.448826315
0.472353036,0.45186647,0.44156687,0.449047744
0.47116738,0.450721978,0.440543061,0.448077087
0.469786382,0.449586477,0.439655287,0.447258526
0.472242015,0.451222721,0.44062663,0.448737683
0.471629261,0.450723268,0.440044842,0.448216517
0.473051978,0.4522576,0.441494381,0.449669279
0.471955136,0.450627222,0.440470799,0.448194851
0.47158339,0.450100321,0.440203487,0.447621728
0.471880378,0.450114686,0.440346942,0.448088484
0.47086379,0.449021936,0.439503912,0.447081748
0.469995705,0.448075917,0.438595194,0.44634954
0.470476186,0.448389635,0.438492485,0.447172508
0.469464814,0.447141445,0.43781617,0.445975606
0.469555382,0.447304206,0.43814174,0.44592541
0.468974946,0.44614026,0.437733614,0.445597218
0.468197479,0.445815596,0.437125862,0.444797197
0.469226781,0.445824746,0.437950417,0.445282484
0.468235878,0.444881681,0.437005341,0.444349402
0.467145318,0.444006869,0.436075984,0.443416171
0.467393623,0.443168011,0.436109296,0.443648364
0.467572815,0.442964968,0.435998499,0.443745519
0.467446443,0.442638343,0.435539211,0.443607845
0.468605351,0.443971328,0.436625143,0.445403194
0.467628407,0.44272536,0.435486401,0.444167736
0.467008834,0.441611667,0.434388824,0.442922917
0.46627253,0.440724254,0.433663705,0.442052503
0.467948145,0.44273673,0.434785146,0.444034299
0.4678342,0.442777042,0.434657281,0.444168589
0.467562496,0.441563493,0.433959321,0.44267368
0.467054869,0.440766443,0.433546922,0.441866612
0.467475264,0.441207996,0.434140414,0.442044262
0.469887429,0.443854131,0.436819094,0.443922828
0.470748975,0.444408008,0.437338654,0.444433716
0.469769614,0.443575532,0.4364689,0.443622483
0.469329468,0.443155221,0.436263321,0.443369582
0.467882022,0.442288734,0.435197678,0.442262234
0.466724849,0.441646882,0.434336522,0.441576461
0.465713022,0.440823456,0.43353561,0.440885046
0.466300925,0.442164518,0.434311259,0.441937747
0.469050147,0.444876449,0.436541903,0.443627773
0.470620175,0.445823515,0.437780989,0.44457385
0.470917736,0.446056668,0.43842932,0.444877145
0.470329781,0.445256994,0.437342003,0.444129626
0.471121363,0.446072541,0.437693838,0.445010753
0.472049671,0.44725641,0.438425248,0.445528546
0.471159495,0.446385458,0.437585342,0.444724507
0.471270139,0.447241366,0.438576388,0.445216422
0.470090378,0.445850375,0.437228946,0.444121598
0.469982885,0.44600295,0.437153085,0.443777411
0.47215204,0.449006882,0.439653553,0.446352802
0.470858181,0.44715992,0.438103187,0.444922664
0.471506293,0.448209982,0.439062715,0.445485154
0.473179541,0.449942686,0.440558125,0.446775487
0.472110408,0.449090593,0.439550867,0.445793754
0.473325185,0.450560247,0.441560194,0.44753547
0.472495714,0.450382423,0.440877724,0.447456196
0.47283661,0.450899782,0.441577767,0.448021022
0.472407353,0.450373645,0.441035663,0.447446132
0.471561843,0.449386197,0.440184547,0.446623434
0.471793154,0.449720667,0.440418972,0.44682026
0.474596156,0.453072672,0.443438994,0.450054287
0.473241918,0.451723634,0.442308003,0.448785842
0.472290747,0.451117051,0.442484053,0.4495308
0.473144327,0.450987829,0.442525001,0.449106982
0.473013987,0.450689334,0.442251326,0.448832911
0.474932598,0.452559768,0.444135528,0.451397692
0.47398515,0.451703802,0.443298896,0.450492611
0.473315143,0.45108382,0.442711407,0.449850525
0.472178309,0.450184452,0.441762844,0.44891598
0.471326726,0.449203923,0.440986114,0.448177361
0.470775815,0.449095347,0.440299371,0.447754921
0.471374356,0.44937564,0.441148087,0.448295516
0.472847445,0.452056243,0.442586538,0.448733769
0.471935167,0.451102774,0.441722744,0.447957202
0.471034949,0.450271978,0.440914864,0.447111984
