N=1000,N=1200
1.155747273,1.166565307
1.144918284,1.155285501
1.137425453,1.147337628
1.14144913,1.151179491
1.12691325,1.136762988
1.116407833,1.126286074
1.113856075,1.12391501
1.099410321,1.109389087
1.137303574,1.147207535
1.156296045,1.166522034
1.143158206,1.153091836
1.141424429,1.15076692
1.132602689,1.141245936
1.118765728,1.127450285
1.106894111,1.115369932
1.118295977,1.127415488
1.128726509,1.138762334
1.117555169,1.127523417
1.105079831,1.115083963
1.127519357,1.137775084
1.114606756,1.125032619
1.100068233,1.1101438
1.084764398,1.095052891
1.077562836,1.087607193
1.061937575,1.072169809
1.052366099,1.061960121
1.080488222,1.0912952
1.069880546,1.080530297
1.0726413,1.082800207
1.064733386,1.074653622
1.050141221,1.060190924
1.035128126,1.045209828
1.033392864,1.043238168
1.057844521,1.069627478
1.058510851,1.07023105
1.083667537,1.096974017
1.078980425,1.09263764
1.067298219,1.081121179
1.056906404,1.070733167
1.040905299,1.055108506
1.035084394,1.049751836
1.057303736,1.072960113
1.041696958,1.057635242
1.033160784,1.048234888
1.018137,1.032712326
1.023127607,1.03676445
1.007498355,1.021620555
0.992432564,1.006683013
0.992301672,1.006516793
0.976557606,0.990531142
0.968081647,0.981798606
0.952082673,0.966105286
0.946616929,0.960490945
0.942552656,0.956343672
0.924932532,0.939073826
0.916278567,0.929991501
0.901043584,0.914739212
0.928760986,0.94455177
0.938312339,0.95411578
0.971035998,0.987967971
0.955924427,0.972644641
0.944663761,0.96095135
0.930591704,0.9465513
0.92119238,0.936349981
0.968086086,0.988400402
0.978451978,0.998196151
1.009540702,1.029410444
1.023400655,1.04386829
1.033169386,1.05224286
1.018578615,1.037580829
1.002711527,1.022222135
1.010879834,1.027994172
0.997564736,1.014691005
0.981661946,0.999028405
0.992596946,1.009369984
0.986834172,1.003226667
0.970367994,0.987203228
0.974156044,0.990236929
0.967823347,0.983330535
0.95516284,0.970188215
0.944513113,0.959027913
0.929269349,0.943704895
0.916905986,0.930932187
0.911370756,0.924744086
0.894275912,0.907733571
0.879290026,0.892563148
0.86601438,0.878896615
0.852633672,0.865171377
0.870900577,0.882742131
0.888639316,0.899644605
0.89470414,0.904952571
0.893705664,0.902880276
0.876126179,0.885516715
0.865413024,0.87373749
0.847842309,0.856191018
0.873632671,0.881928435
0.862334689,0.870018131
0.847176364,0.854926551
0.868779112,0.876362577
0.864081419,0.869932003
0.865126444,0.86903344
0.853656662,0.856668564
0.877576685,0.88049454
0.956508298,0.969508948
0.948968122,0.962367172
0.948020038,0.960889722
0.95388828,0.966959646
0.958255244,0.969686257
0.9450012,0.956115263
0.962899448,0.97147533
0.946622198,0.955456993
0.954269995,0.962081613
0.944867844,0.952126099
0.927945401,0.935377905
0.910744019,0.918294123
0.945552933,0.956066034
0.932937631,0.943506436
0.938698768,0.949562853
0.9524392,0.963056875
0.943178344,0.95289637
0.941311577,0.950208897
0.924543773,0.933708857
0.910545755,0.919302297
0.911759259,0.919333165
0.895068805,0.902724613
0.894182294,0.901112572
0.891778196,0.898289558
0.874729437,0.881247479
0.875182925,0.880246143
0.860241381,0.865191857
0.860269756,0.86417487
0.842734376,0.846631619
0.834419725,0.837683528
0.86391415,0.86897288
0.846063488,0.851228974
0.829512888,0.834368976
0.844603125,0.848430154
0.83293314,0.836200809
0.827614254,0.829989411
0.812996009,0.815133703
0.800580874,0.80265632
0.792118933,0.794203397
0.772547686,0.774769441
0.774020444,0.776637508
0.754460212,0.757229908
0.752281496,0.754151673
0.756386153,0.757717851
0.73695572,0.738259867
0.71614567,0.71734076
0.694869978,0.696052826
0.74562545,0.749838968
0.734166295,0.737860698
0.714894439,0.718073181
0.704928137,0.707222436
0.683557797,0.686989743
0.67141238,0.674055183
0.67345812,0.674895874
0.652846846,0.654006732
0.631640683,0.632425438
0.642489502,0.644239555
0.657026826,0.658243884
0.636861402,0.63764358
0.664938661,0.665600496
0.654335796,0.654493875
0.641468014,0.640522356
0.618096811,0.616957142
0.626734026,0.625510515
0.602295643,0.601006075
0.595019962,0.59278458
0.574864832,0.572353711
0.570160593,0.567009376
0.553991818,0.550298247
0.52838881,0.524380609
0.521054227,0.515765281
0.522963997,0.516825328
0.494346088,0.487966399
0.480953964,0.473778624
0.481183187,0.474630108
0.512448503,0.510518031
0.578370363,0.591083987
0.598070149,0.610535307
0.590170663,0.601482286
0.564098497,0.576128559
0.54087737,0.552955414
0.552762439,0.562898189
0.541683018,0.550018336
0.522986357,0.529901761
0.493671983,0.501083687
0.55762044,0.565836314
0.530589954,0.539521581
0.505496428,0.514291952
0.556563949,0.566491916
0.529572225,0.539826592
0.514073509,0.523219772
0.714086537,0.750299346
0.70001757,0.736292756
0.679290778,0.716554404
0.700473343,0.733360066
0.689860891,0.722510622
0.711269336,0.741740721
0.70458575,0.734346348
0.709049967,0.73723011
0.742795086,0.769379403
0.733019721,0.758428139
0.712416588,0.738453356
